"","tweet"
"928","@united you shouldn't advertise ""full web access"" when you can't load any sites and it just goes back to trip tracker.. poor experience"
"929","@SouthwestAir Was on hold 2 hrs. Rep said fees not determined until tix are bought. Fees ended up being 2x rep's estimate. Not very pleased."
"930","First and last time flying @united ! I NEVER have this issue with @SouthwestAir  now I'm gonna miss my brother's bootcamp ceremony thanks!"
"931","Yo @AmericanAir why don't you have student discounts? Your prices are making me and my bank account sad."
"932","@AmericanAir why are both of my flights delayed today? Why are almost all of my flights with you delayed? Sick of this"
"933","@united hey United - our flight UA1593 Orlando to Newark is now 3 hour delay?? What's up?"
"934","idk who I hate more @Expedia or @united ??? I will never use either EVER AGAIN."
"935","@AmericanAir write back to @stillupsocut so we can kick off our UK and European tour tomorrow. Heavy metal needs you."
"936","@gerrymessina @united @MileagePlus #disappointed #customerspayforeverything #poorservice #customerscomelast"
"937","I think AA was concerned about lowering their 24% 45 minutes + delayed stat on AA1523 so they decided to delay mine by 50 min @AmericanAir"
"938","@VirginAmerica AWESOME flight team on #VX919 LAS - SFO tonight! Trista made up for the delayed departure. #virginrocks #virginamerica"
"939","@jetblue making it really hard for me to continue flying with your airline #feesonfees #BadCustomerService #jetblue"
"940","Got a call from @JetBlue. ""You're flight has been disrupted. You are no longer scheduled for this flight. We look forward to serving you."""
"941","trying to book my flight home for the only leave i get this year and @SouthwestAir wants to FUCKING CRASH"
"942","@JetBlue thank you for not helping me I appreciate it not so much after traveling with you for many years #Disappointed #Rude"
"943","@AmericanAir funny. Left my wallet on the plane. Picking it up and money was stolen from it. Missing my connecting flight now. @AmericanAir"
"944","@mclanea @AmericanAir Haha. It's really not that bad, but there have been seasons!"
"945","In October, @AlaskaAir ranked #1 for on-time arrivals at 88.9%, followed by Delta with 85.2%. The worst? United at 76.1% &amp; American at 74.3%"
"946","@united @danthomas907 so 1st flight was delayed 5 x due to weather? 2nd  cargo was loaded incorrectly3rd was printer didnt work, really?"
"947","Flight now delayed over 2 hours with no end in sight. Something tells me I won't be flying @united again. #pissed"
"948","Glad to see @AmericanAir listened to complaints about discontinuing meals on some first class and made changes.  Plus upgrade to lite meals."
"949","That time @AmericanAir ruined my luggage how hard is it to care for bags?!? And not throw them because your almost off work?!?"
"950","@AmericanAir Currently still on hold with customer relations. This is unacceptable. http://t.co/QH8Eb1wImE"
"951","Did a round the world trip using AA miles.  Landed in US  and connection cancelled.  Rebooked on flight 24 hours later: Boo! @AmericanAir"
"952","Bad: Stuck in coach LAS-SEA Good: @AlaskaAir serves banh mi sandwiches N &amp; W bound on flights &gt; 2 1/2 hours. Bad: My flight is 2 hrs 20 min"
"953","So @united is telling us our flight is delayed because of ONE missing piece of paper. #isntIt2014? #TMI #freedrinks"
"954","@united standing outside in Denver with no coat waiting on shuttle cause you diverted me. #notfriendlyafterall"
"955","@letterpress_se for those of us whose closest airport is a @united hub the choices are dismal so almost no choice."
"956","@AmericanAir American Airlines really dropping the ball this trip. Flight2223 delayed over 2 hours from Miami. Please put us on next flight."
"957",".@united cancels flight for maintenance after sending plane to another city. #wth Stuck in LA &amp; won't land in time to get @BSIMEvents bib!!!"
"958","@Baggyblondz @SouthwestAir true story, that steward was rude as hell!"
"959","Gave @united wifi second chance. Experience as bad as the first, unusable product. Hard to believe took this long to install &amp; so very bad."
"960","@AmericanAir Just an ordinary day for a Chairman on @USAirways with bad service, old planes and no limes."
"961","@DeltaAssist #roughday 1332 had mechanical, no wi-fi and my bags missed &amp; on 760 my seats got changed.  You're usually better than this"
"962","@AmericanAir I did call them, they just told me that it is finally transferred to their ""claims"" but will take another 8 weeks, sigh"
"963","@united Why even serve coffee on flights anymore? The coffee is still horrible more than 2 years after you went cheap &amp; dumped Starbucks"
"964","Just got off phone with rudest @AmericanAir csr ever!  Reservation issues ""my fault"". Not just bad rude!  Guess I'll give my miles elsewhere"
"965","If this @AmericanAir flight delay makes me miss kickoff of the @packers game, I will be so mad! #neverontime"
"966","@DeltaAssist just booked a flight. Can I add extra baggage online or do I have to wait until check-in?"
"967","@AmericanAir so stressful - ok that mechanical probs from ewr to Mia but getting bags is slow &amp; missing new flight #whysoslow #makeitbetter"
"968","@united , your onboard internet service is so terrible. not worth 17 USD."
"969","@DeltaAssist HK5IQO. Nothing but issues since the first leg of this journey."
"970","@Astro_Clay @united I had similar issues and had to stay over night in Chicago. I got the same. #sad"
"971","I'm never flying @united again. There is never any gates open and I've come literally seconds to missing my flight."
"972","The only thing with directions in it's name that's worse than @SouthwestAir is the movie ""North"". But it's real close."
"973","@DevinHayes_ @AmericanAir dude everyone says american air sucks"
"974","NEVER FLY WITH @AmericanAir  "
"975","4-hour flight Chicago to Phoenix. No wifi. Delayed. Of course @united"
"976","@DeltaAssist I just landed and missed my connection. Is there a way to resked the 2d flight online?"
"977","So @SouthwestAir flight delayed over 2 hrs for no pilots, isn't that the first thing they should check they have when I pay money to fly?!?"
"978","@taneyhill @united it says online it will leave at 12:27 EST. Hang in there "
"979","@AmericanAir you left my son stranded 2 hours from campus. Cancelled PAID FOR flight should at least=bus ride! #angrymom"
"980","@AlaskaAir Flight #869 11/16,OGG. Horrible ""first class"" service. Come AkAir, you're better than this!!"
"981","@DeltaAssist I would like to make a complaint about a flight, I'm based in the UK, can you give me a direct email address to contact please?"
"982","@Dejan_Kovacevic @PITairport @SouthwestAir 30 min delay on thurs due to crew watching a lady try to stuff a coffin size bag in overhead"
"983","I always fly @SouthwestAir but I have never had such horrible and rude service like I did on this past trip... #disappointed"
"984","@DeltaAssist FYI. Someone needs to tell maintenance at LGA terminal D that it's hotter than heck in here!  People are fanning themselves"
"985","@SouthwestAir flight 2964 delayed 3 hours and we are missing connection now. Guessing we get compensated for these equipment issues?"
"986","@United My flight is delayed, I'll miss the connection, and your CS agent says there's nothing that can be done. Seriously?"
"987","@tinybaby @AmericanAir I'm going to cancel my AA reservation next week for united (LAX to Vegas) unless they #GiveTBtheSeat"
"988","Dear cranky @VirginAmerica gater who insisted my hardcase wouldn't fit under seat &amp; made me check my carry on #grrr http://t.co/6ZekapD5oD"
"989","@AmericanAir Record Locator PHRKHT. Flight delayed for mechanical failure. Baggage lost en route. What is daily essentials allowance?"
"990","OK @United #1073 - 30 mins and we have not pushed back... scheduling problems?"
"991","@Dejan_Kovacevic @PITairport @SouthwestAir that's how I feel about us air have screwed up more plans and transfers for trips and take noblam"
"992","@AmericanAir USAir treats your elite passengers like garbage. Useless &amp; no customer service."
"993","$25 bag fee &amp; $200 in stolen items from lost/delayed luggage &amp; all @AmericanAir offers is $50 ticket credit. I'm still out $175 !!!!!"
"994","Once again @united solidifies itself as the worst airline to travel with. People literally rioting at #ewr"
"995","After 24 hrs, my bag was delivered! Late is better than never but u will have to pry it from my fingers for the return flight @AmericanAir"
"996","@AmericanAir no one contacted me... I'd like to know whether the flight is still held or if I have now lost it?"
"997","@united I got one checked bag last night in HNL but missing two bags that are supposedly in KOA. What gives?  #pleasehelp"
"998","Never been first one on a plane before thanks @JetBlue #mosaicrocks #itsthelittlethings http://t.co/BYTLgvuMBZ"
"999","@Delta ignoring my complaint for a month: lost luggage @KLM, @airfrance 3days delay, EUR 2000+ damages @DeltaAssist @KLMCanada @skyteam"
"1000","The snow is really making me miss my @united Global First Suite._ http://t.co/PtOCpzHwuV"
"1001","@Dulles_Airport @united waiting for my flight to FRA :) http://t.co/2yiz4WRprq"
"1002","@AlaskaAir I was promised a $150 flight rebate via email and never received one. Who can I speak with to get that??"
"1003","@jhammond I was delighted to drop @AA and switch to @AlaskaAir when we moved here."
"1004","@united no call or email regarding damaged luggage. its been 3 weeks can i please get a response?!?!"
"1005","@JetBlue what are the chances that you can cancel a flight for free if you've purchased it less than 24 hours ago?"
"1006","@united yes, we did - 75 minutes later. Disappointed by the level of service and the inaccurate updates we received at the airport."
"1007","@DeltaAssist delta airlines don't care about their passenger and luggage .horrible experiences"
"1008","@DeltaAssist fl 1056 delayed due to ""paperwork"". Looks like I will miss connection in msp can you help?"
"1009","So sad to see @JetBlue moving toward checked-bag fees. Guess I'll get my money's worth elsewhere by requesting obnoxious # of drinks/snacks."
"1010","I'm disappointed to hear about @JetBlue adding bag fees, but @VirginAmerica has remained a favorite airline of mine even with the fees."
"1011","@united Changed my wife's seat. Says they can't change it back! Will be travelling with baby need to be side by side! #UnitedFail #annoyed"
"1012","@JetBlue may have drastically reduced or even eliminated every reason I had chosen to fly with them. #disappointed #seekingalternatives"
"1013","@AmericanAir @USAirways Have not paid for bags - USAir 6 trips due to being AA Gold.  At Mobile AL and $25.Confusing. No customer Service?"
"1014","@AmericanAir You guys suck ass"
"1015","Very disappointed in what I'm reading about @JetBlue. Less legroom and charging for the first checked bag = negative customer experience"
"1016","Seriously @AlaskaAir? Cramped plane w/overhead bins that don't fit your max dimensions, no USB ports &amp; NO free inflight?! NEVER AGAIN #FAIL"
"1017","@VirginAmerica The shine is gone. Cute safety video and purple light have given way to reality - packed, small planes with bad seating plan"
"1018","Sad day RT @baad_kittee: RT @MikerHJr:@JetBlue Can you get any more robotic in your responses? Time to fly @SouthwestAir and @VirginAmerica"
"1019","Grr. Travel note: give me @Delta over @SouthwestAir ANY DAY!!"
"1020","Ugh thought u were different @JetBlue. You're Not Going 2 Be Happy W/The Change Coming 2 JetBlue http://t.co/NIgwS0gi84 via @HuffPostTravel"
"1021","Disappointed in what was my fave airline _@MarketWatch: @JetBlue reset its priorities, and ""customers"" is not #1 http://t.co/O6zObKB456_"
"1022","@ABC7NY @JetBlue terrible....I would only fly JetBlue before now....now, I will seek other airlines first.  It's a shame."
"1023","@JetBlue You'll be just another airline and that's a shame!! Thought you were different ...lost my business."
"1024","Landed 55 minutes ago in Chicago and still not at the gate. Never flying @united ever again. Ridiculous."
"1025","@AmericanAir I have a flight on hold, is there a way to see how many miles the trip will be?"
"1026","How quickly a brand promise can be broken. @JetBlue Jet Blue cuts legroom and adds bag fees http://t.co/LmKPEpMM6G via @BostonDotCom"
"1027","My first horrible experience today with @VirginAmerica. After waiting for +2 hs for the aircraft we are now waiting for the crew to show up!"
"1028","So sad to see @jetBlue turn a corner on its core product. No more complimentary bag &amp; reduced legroom starting next year #wallstreetaboveall"
"1029","Worst airline at adding partner miles? @united. 900 dollar ticket and 16K mile flights after my trip on @TK_US and miles STILL not posted."
"1030","There goes my plan to switch to @JetBlue next year. No incentive now."
"1031","Shout out to @SouthwestAir ticket agent Fatima at SFO. Quickly switched my flight avoiding a 3 hour delay due to weather."
"1032","I used to fly @JetBlue .... USED to. no longer. I don't support the changes. switching to @SouthwestAir"
"1033","@united Can someone please respond to my earlier tweets about a lost item? I have Elite status with you if that helps."
"1034","Yo @united is killing the game today!  See you soon Virginia.  @AmericanAir is crusty "
"1035","@VirginAmerica playing ""oldest penny"" &amp; ""worst id photo"" game while we wait for delayed flight. Winners get free drink ticket! Too funny"
"1036","Still in shock that my @JetBlue app failed me... Missed my flight and had to wait 4 hours for the next flight..."
"1037","@AmericanAir my app will not let me log in - iphone 6+. I've deleted and redownloaded. Any suggestions or others with similar issues?"
"1038","@kellyjandrews @Delta @united @SouthwestAir @USAirways  Fuck flying!  I'm renting a car!"
"1039","@DeltaAssist will never fly with anyone else again. "
"1040","@AlaskaAir counter at SAT doesnt open until 4P?  Not cool, ASA"
"1041","@JetBlue you suck. Signed, a tall guy."
"1042","@united I waited for 2.5hrs around the gate area only to find out that you gave away my seat illegally. How do I file a complaint?"
"1043","VERY disappointed with the news about @JetBlue . Have been flying since 2007 so may change airlines. Money over customers. Makes me sick."
"1044","Disco dance contest onboard delayed @DeltaAssist flight 888 complete with judges, awards and a gong"
"1045","@JetBlue so much for that ""on time departure"" push back from gate, then towed back &amp; now have to get off the plane. #fail #JFK"
"1046","@FlySeaborne @AmericanAir experience in San Juan awful. Person who was supposed to take bag to transfer at ""drop and go"" wasn't even there."
"1047","@united this has been the worst travelling experience I have ever had. All cause you guys can't seem to be able to get your stuff together!!"
"1048","@AmericanAir Customer Serv you have to pay for a stmts for your frequenly flyer. Shame on you! You can't see in the system so pay up!!!"
"1049","Spending lots of time (and $) with @AmericanAir through the end of the year. Can't wait! http://t.co/zBx6ztxUqY"
"1050","@AmericanAir Is there a number I can cal to talk to someone to change flights since I missed my first flight?"
"1051","Ok @AmericanAir 4 times I've filled out the online form. No response. #badcustomerservice Time to find exec emails and maybe another carrier"
"1052","@AmericanAir your airlines  suck I'm the only flight delayed n it's been 3 hours wtf"
"1053","@JetBlue Yes, there were options, but agents and supervisors wouldn't rebook. Still #unhappycustomer"
"1054","@united Service is going downhill. delays the past 2 times I've flown with you. UA1471 delayed. I would like 10k credits for my time."
"1055","Should have been halfway to Denver by now. This is unacceptable, @flypdx @SouthwestAir :("
"1056","6hr delay, new plane, but at least @United gave us $7 food vouchers.Thank god-b/c getting $7 worth of airport food was my big worry. #ripoff"
"1057","A year's worth of @SouthwestAir C.C. apps. They just don't give up on killing trees! #TakeAHint @WPTV @CNN @NBCNews http://t.co/wgp62MdMWm"
"1058","@united I need help with resolving a problem I am having with United Airlines customer care."
"1059","@AmericanAir  5hr delay this am in DTW due to ice,understandable! Then  delay in DFW #3312, supposed to be in BPT 8+hrs ago!Grrr!Day wasted!"
"1060","@AmericanAir my flight got cancelled ba1531 11/22 can I please have some more info and know what to do?"
"1061","@united flight 129 is over 4h late and your crew has zero information about where the plane is or when boarding is going to happen."
"1062","@KearnsErinM @united Agreed! Worst flight in years."
"1063","New @VirginAmerica site is so buggy.  No valid CC check until the very last booking step, weird caching for points and seats.  Sigh."
"1064","@united 4+ hrs flight to Aruba with no entertainment system or SkyMall magazine! (This last part is sarcasm, just in case). #united #unhappy"
"1065","@ktburnett fuck @united fuck @SouthwestAir fuck @Delta fuck @VirginAmerica fuck @FlyFrontier ...and whatever's left"
"1066","Multimillion remodel of #seatac and @AlaskaAir has us take stairs out across Tarmac in November rain. sleazy."
"1067","@united again late out of Chicago. United Express regional connection flies according to its own schedule. Will this ever change?"
"1068","@AmericanAir full flight but this has happened many times. Srsly pls show on booking seat maps.  V frustrating 2 loyal AA frequent flyer."
"1069","I'm sad @AlaskaAir took down the @TimbersFC ad on the storage building off i84."
"1070","@united Yeah get your company to drop the ridiculous Hidden City lawsuit &amp; stop being greedy by overcharging people for not booking that way"
"1071","@AmericanAir lost luggage out on tarmac at B40 at DFW. Third one tonight."
"1072","@VirginAmerica your site is terrible! I fly tomorrow morning and paid for an upgrade and luggage and it hasn't been registered on my flight"
"1073","Lost baggage. @AmericanAir ruining another holiday."
"1074","15 minutes waiting for a crew on the tar may. 45 minutes waiting for luggage. Wake up @AmericanAir MCO #HomeSweetHome"
"1075","Goodbye #SanDiego | Can't wait to get home to my beautiful #Hawaii! #Aloha @AlaskaAir"
"1076","@JetBlue Never had harder time resetting password than @ http://t.co/UCbjbGds0X. Can't use one of TWENTY previous? No ""!"" allowed? Crazy!"
"1077","@saab007 @cjmcginnis Doing my part to kick up the EWR C experience for @united! @anOTGexperience"
"1078","@JackDail @DeltaAssist I ride delta too it sucks oops"
"1079","_@AndreaRussett: I__m gonna go ahead and say what everyone__s thinking, @united SUCKS. Never again._ Worst airline ever "
"1080","@SouthwestAir Some of the worst customer service around at BWI, spoke with 10 people all saying something different and all equally bad"
"1081","printed my boarding pass and @united added the prefix ""miss"" onto the end of my first name.. so it looks incredibly awkward. #doless"
"1082","@JetBlue Hiii can you please (pretty please) help a broke college student out with a free aisle seat tonight?"
"1083","@SouthwestAir just paid to watch nfl game on flight and can't watch it. Sad fan and customer.  :-("
"1084","@SouthwestAir was just told a lie by a flight attendant. Might take my $ elsewhere. 3 flights in a row with heavy non-traffic delays."
"1085","@SouthwestAir i hate my cousin craig"
"1086","@united: @twbrister Apologies for the inconvenience. We're sure our team is..."" United has just tweeted me an apology... #UA3709"
"1087","@AmericanAir flight 262 boarding, but I just got a text from you that we don't depart until 10 am.  Nothing said at gate about late"
"1088","@SouthwestAir our car seat is stranded on the Tarmac and getting poured on. Anything you can do to help when we land? http://t.co/YddTAlKWOL"
"1089","@unVOXT quoth @JetBlue ""Your expected wait time is less than 17 minutes"". So much for advising them of delay. Let's #help that hold time..."
"1090","It's a shame @virginamerica did NOT survey their loyal statused flyers re: direct flights from LAX to PHL b4 discontinuing the RTE."
"1091","S/O to @AmericanAir for canceling my flight cause of their crappy planes"
"1092","____________________________________ wait for me @united"
"1093","_@VirginAmerica: @JetBlue We smell a pet liaison grudge match. http://t.co/nDbP0Dql6C #LikeCatsAndDogs_ LOL"
"1094","@JasonLCruise @SouthwestAir That's bad form Southwest!!! Bad form!"
"1095","@united is the worst."
"1096","@AmericanAir No worries - I'm used to delays but this was frustrating because the pilots were at @Starbucks instead of  on the plane."
"1097","@AmericanAir Our flight has already been delayed 30 min and they haven't even started working on the engine problem yet #justtakemehome"
"1098","@pointonemiles @CarleeMcDot @PhoenixMarathon @TheAthletarian @SouthwestAir problem solved: Everyone move to the Bay Area and we BUY a plane."
"1099","@DeltaAssist I started a claim, but I can't exactly empty my bag and leave it with you while on a layover so you can try to repair it."
"1100","@united Our flight out of Orlando to LAX got delayed 5 times, struck by lightning, then canceled. Wtf."
"1101","""@USATODAY: Airlines preemptively cancel 150 flights for Wednesday http://t.co/PisPDbx5iN""my flight delayed by 3hours already! @AmericanAir"
"1102","@united how big is the chance that my 5:19pm flight from Cleveland to Newark will be cancelled?"
"1103","@AaronCarpenter @united hate is a strong word."
"1104","@united YOU UPSET MY CINNIMON APPLE YOUR GONNA PAY FOR THIS"
"1105","FYI if you bring an airplane size bottle of alcohol onto the plane you get kicked off a @SouthwestAir flight #thanksgivingruined #notme"
"1106","@united you suck so much omg"
"1107","@AlaskaAir Missed a connecting flight due to delay from a mechanical issue. Added an extra 5 hours to my trip. No apology"
"1108","@Braddock512 @nvidia @united Rich complaint coming from a lawless thug, scamming EA customers off $600 for calling him out. Stfu Jeff Stfu"
"1109","@united No Customer Service -"
"1110",".@TSAmedia_RossF @SouthwestAir Denver based agent just shrugged shoulders and said their system doesn't accept it. Not an issue on my end."
"1111","Once again @AmericanAir proves to be worse than I thought possible. #letmehelpfixyourbrokencompany #worstcusto"
"1112","@AmericanAir @united @SouthwestAir any flights out of ATL to DCA after 7:30pm? @Delta screwed me over and I need to get home"
"1113","Let me get this correct, i have a bad experience w/@united &amp; in response they give me a $150 travel voucher that requires more money to use?"
"1114","Why do I always have issues when using #united. . Flights are canceled, delayed due to a late inbound crew.... @united why? Why? Just wrong."
"1115","You literally ruin everything @SouthwestAir"
"1116","@JetBlue it was a #hotmess to get home. Now stuck in Boston on a layover due to service miscommunication  #Late4Thanksgiving"
"1117","@AmericanAir Why is the traditional Japanese menu no longer available in J to Narita?  The recent downgrade in menu service in J sucks."
"1118","@AmericanAir why is flight 1609 to MIA delayed"
"1119","@AusBT @airliners_net @TodayInTheSky I reckon @SouthwestAir was used as an excuse, @united probs didn't see much potential on the route"
"1120","@JetBlue after all that delay wait, I got charge for a soda."
"1121","@AweEnder @united they realized the body wash couldn't fix your ugliness so they spared you them time! OH SHIT SHOTS FIRED. Jk ily"
"1122","At LGA flight delay @united 1092 due to flight attendant overslept. I managed to get here on time with 2 little kids, why can't she? #fail"
"1123","@united Laurie #41 told my brother in the military she could help with his ticket problem, but won't. Is this how you do business?"
"1124","Hate that the new @VirginAmerica website is so hard to navigate through "
"1125","So glad I switched to @VirginAmerica! @united sucks balls."
"1126","@SouthwestAir really delayed my flight again ... now i'm stuck at the airport for an extra 30 mins . I could have spent more time at home.."
"1127","@DeltaAssist can't tell you how disappointed I am with your stupid change and cancel fees. Got a tix for my friend who had a change..."
"1128","@DeltaAssist Issue was the gate agent at SLC to SEA flt 1857. Came from HNL without issue. Headed to ANC. Will"
"1129","@AlaskaAir the self luggage tab feature is pathetic. Whats next - learning to fly by myself ?  Had the worst experience at Honululu term."
"1130","Hey @SouthwestAir you ripped my bags and now the internet I paid for isn't working! Hopefully you address both of these problems, doubt it"
"1131","@united HORRIBLE customer service on UA838!!! Forcing everyone to sit on a plane for 6 HOURS and then stranding them in the airport at 1am?!"
"1132","@bessygatto @united that sucks!! They better have in when I come to Nyc"
"1133","@JetBlue fuck you Matthew is god how fucking dare you @MatthewLush"
"1134","@DeltaAssist shocked that my 15month old found a half open bottle of sky vodka in the seat pouch and we a broken chair on 504 on the 25th!"
"1135","Delayed in Ft. Lauderdale because ""they need to throw the wrench at the plane when it gets in from New York"". Yikes @SouthwestAir. *_*"
"1136","@MatthewLush @Nickalaws @JetBlue wtf. What happened? Why did they ban n kick you out?"
"1137","Stuck @UIO as @Delta isn't here to check in so I can't even get into the lounge to which I have access. When can I check in @DeltaAssist?"
"1138","@Nickalaws @MatthewLush @JetBlue OH HELL NO! I live in nj! Let me find out some bitch trying to keep u two from seeing each other"
"1139","The problem w/ @SouthwestAir is that a) it relies on people to be able to count in order &amp; b) thinks people are polite enough to go in turn."
"1140","@AlaskaAir just broke my bag. Never checking a bag with them again."
"1141","A big shout-out to the super-nice @VirginAmerica check-in team at SFO that just helped me find my lost ID....! #morningglory"
"1142","@fredhicks @united I had 300k miles at one point. I burned them as fast i could so I'd never have to fly them again."
"1143","@aloria @united United - shame on you. Definitely off the preferred supplier list."
"1144","Never again @AmericanAir , never again. You improbably managed to mess up all legs of my travel both ways. #atleastwedidntcrash #defineinept"
"1145","@united let's not forget our 6am flight being cancelled after waiting 4 hrs for them to fix our plane."
"1146","Will @JetBlue actually wait for passengers to arrive this time, or will they take off an hour early again? Time for #JetBlue Roulette!"
"1147","It's a shame @aloria is dealing with this @united bullshit. I dumped them a long time ago after they refused to let me board a flight."
"1148","@SouthwestAir, Second time my flight was delayed. Just my luck. "
"1149","@DeltaAssist flight from MDW to MSP cancelled. Booked a new flight 8.5 hours later than my original flight. Could've driven to mpls by now."
"1150","@united @tulsaairports sitting at gate B6 waiting for ua5220 to iah since noon while ua3345 is leaving for iah from same gate #united #fail"
"1151","Hey @AmericanAir, fire your staff in columbus.  Literally no reason I should have to wait 45 min to check a bag."
"1152","Let's see if you can make this one slightly less terrible @SouthwestAir"
"1153","@United the suitcase regulations are ridiculous!"
"1154","@AmericanAir completely unacceptable!!! AA Flight 1393 redirected a 2nd time for same issue!! 5hour delay &amp; we are going back 2 SJU again!"
"1155","@SouthwestAir Flight attendant playing with @Boeing mood lighting while we wait for pilot at @KCIAirport :)"
"1156","@MatthewLush @JetBlue Good they deserve the bad publicity!"
"1157","@united missed our connection by 5 minutes, 3 hour layover now, have 2 club passes we left home. Can you help?"
"1158","@united we were also unable to use our club passes bc we never received the paper copies. Are there electronic versions we can access?"
"1159","@AmericanAir I'm a loyal AA member but these late and delayed flights are starting to frustrate me. Thought I was gonna miss DFW connection!"
"1160","@SouthwestAir very rude gate agents LAX &amp; why delay my flight 2 hrs to MDW and allow the other 2 flights after mine leave on time and b4 me?"
"1161","@Bakex_nMe @MLGMaintaiN @AmericanAir lol I can't even watch my fucking stream"
"1162","@MatthewLush @JetBlue is ridiculous. #boycottjetblue"
"1163","@united you are on a roll - 3 delayed or cxld flights in the last month. Flight UA 1742 cxld from DEN to IAH 11/30. #UnitedAirlines"
"1164","Very shocked at how awful @JetBlue treats their customers."
"1165","Free texting on @alaskaair with @tmobile was awesome. I've never texted from 30,000 feet before."
"1166","@JetBlue you treated @MatthewLush like he is some sort of horrible person,Matt wouldn`t hurt a fly.You should be ashamed."
"1167","#BoycottJetBlue #BoycottJetBlue #BoycottJetBlue #BoycottJetBlue   @JetBlue - YOU ALL SHOULD BE ASHAMED OF YOURSELVES! #BoycottJetBlue"
"1168","That is so freaking ridiculous that @JetBlue would do that to you. They have no right too. That's why I have decided to #BoycottJetBlue"
"1169","Really? @MatthewLush  @JetBlue thought YOU were a threat? That makes me so frustrated. If I ever get a choice, I will never fly Jet Blue."
"1170",".@united what's better: sitting on a plane at the gate OR doing *anything* else in terminal? why do we board for a crew that's 30min+ late?!"
"1171","Hey @united, you ruined Sunday AND Monday. Never knew ""air traffic"" was a reason to cancel a flight. Air traffic. Like other planes? Birds?"
"1172","Thank you @MatthewLush for sharing your story on how terrible @JetBlue and their service is. Will avoid them. #BoycottJetBlue"
"1173","I hope @JetBlue realizes how much money they lost by siding with an irrational employee using only joking tweets as support #BoycottJetBlue"
"1174","I will never fly @VirginAmerica ever again. I got charged double for my flightand I also had to pay an $25 for my luggage 1/2"
"1175","@MatthewLush would never hurt a bug, so I don't understand how he was a ""security threat"". Never flying @JetBlue #BoycottJetBlue"
"1176","@AmericanAir feedback: I wait longer for my bags at LAX than any other airport, La Guardia included! The later at night, the longer I wait."
"1177","@AmericanAir second time this year getting downgraded. This time due to two broken oxygen masks in first class"
"1178","No A/C outlet in economy @united ? Seriously? This flight is going to suck."
"1179","@VirginAmerica Delayed last night out of AUS and rebooked today. Now today delayed bc of crew problems on your end. Miss 1st day at new job"
"1180","@AlaskaAir Nope. Just lost some good business though."
"1181","@JetBlue very dissapointed in your services yesterday..my TV and my Fiances tv both didnt work, and flight was 3 hours delay bc traffic? WTF"
"1182","Dear @VirginAmerica, strong promo, I totally would have bought a cross country plane ticket. Broken website made for terrible execution."
"1183","@SouthwestAir any chance of cyber monday deals today? i missed the 14 day cut off for prices and my flight price literally doubled..."
"1184","Really, @United? No WiFi, or on-demand entertainment? I'll be flying @Delta from now on."
"1185","""Kal Penn directs sex joke at female gate agent: _I feel like Valerie @AmericanAir has never used lube__"" http://t.co/ViACwPTHVq"
"1186","@KassFFRRhost @Eworth100 @united it's not better but ok just frustrated   when they make you pay for a ticket Twice!"
"1187","@united hey fuck tards @sammywilk needs his luggage _"
"1188","@united tweet @sammywilk he needs his luggage and you guys lost it."
"1189","@sammywilk @united Awee poor Sammy!!"
"1190","Hmm... @southwestair flight was cleared to leave early. Then I find out it has no wifi and get a text we__ve been delayed an hour"
"1191","woke up at 6.30 wait at the gate till noon to find out tht my @united flight UA18 MXP-EWR is canceled. .big mess and damaged to my work :("
"1192","People asked me why i was defending @MatthewLush yesterday on my rant about @JetBlue ...uh i don't know maybe because hes my fucking bae??"
"1193","@united once again proving why they suck. 2nd time in 3 weeks I'm sitting on the Tarmac with no gate."
"1194","@thats0jack @united HAAHAHAHHAHA no but that does suck"
"1195","@JetBlue I've had worse experiences. I just can't think of any right now"
"1196","@united unfortunately that time has passed. Why let me buy a flight with a connection that was never be possible no matter how hard I ran?"
"1197","Seriously @AmericanAir? Can I get one on-time departure? I'm losing track of the hours of my life wasted waiting...#AmericanAirlines #fail"
"1198","Woke up early.. Got ready.. Left house for my flight to be delayed.. Again.. What dafuq @JetBlue"
"1199","@JetBlue we are on different days... thanks to your company. so how the hell can we do that #foreveruseless"
"1200","1/4 @united has decided to offer me a $50 gift cert for my and my wifes travel issues."
"1201","@SouthwestAir  were delayed coming in for thanksgiving, now delayed going back. Does Southwest EVER fly on time?"
"1202","@DeepStorageNet @mfratto @united @AmericanAir Us air carriers watched unions kill US auto, yet still let them destroy US air travel."
"1203","@DeltaAssist is 2935 delayed? From LGA to DFW"
"1204","@AmericanAir WE BLOWING SHIT UP from @theholykuran @cloutgod @nikowavy"
"1205","@BachmanJR @united not at all. I hear nothing but bad things about united airlines. They don't seem to care about their customers."
"1206","@AlaskaAir Only issue was mesh pocket was too small for large water bottle."
"1207","JETBLUE HATES ME: http://t.co/GlRt7q5LHb I think @JetBlue is against gays @MatthewLush didnt deserve to be treated this way #BoycottJetBlue"
"1208","@AmericanAir Horrible 5 hr delay in Seattle on Sat 11/29 bc inch of snow!  Incompetence by de-icing team, made up stories, etc. Aggravation!"
"1209","Twitter is so useful I can bother whoever I want with tweets and maybe hopefully get a response @jimcramer @AmericanAir @andygrammer"
"1210","@JetBlue landed in LAX an hour late w/ very little comm from the capt / crew &amp; no info about baggage claim. You're better than this jetblue"
